0,1,2,3,4,5
26,25,4.59724998,7.67811346,340,180859.953
26,-29,-4.95138979,2.0547905,104,12952.9443
26,34,5.361269,4.8801589,136,73063.6328
26,-40,-5.81511259,2.83961153,312,24737.2402
26,32,5.20119476,7.3751626,308,166869.359
26,-20,-4.11190557,6.38500977,170,125070.977
26,34,5.361269,3.88300323,163,46256.082
26,-17,-3.79098964,1.65324926,57,8385.13477
26,13,3.31512427,4.18426704,291,53712.1016
27,-26,-4.68829393,3.97989631,155,44779.6953
27,14,3.44026709,6.13396263,172,106370.18
27,-16,-3.67780018,5.53677273,77,86666.4531
27,39,5.74196386,6.54129982,235,120966.672
27,-35,-5.43953991,5.65373611,93,90366.7578
27,34,5.361269,5.3487277,294,80879.5234
27,-25,-4.59724998,3.06894922,40,26626.6836
27,12,3.18506837,4.85047197,131,66512.8672
27,-29,-4.95138979,7.89574337,270,176247.797
27,27,4.7776022,5.79060173,126,94794.9062
27,-14,-3.44026709,2.6579535,354,19972.5
28,28,4.86527205,6.24531698,213,115864.148
28,-23,-4.40952778,1.06272173,101,3354.89722
28,18,3.90089607,5.18174458,324,79761.2812
28,-23,-4.40952778,3.59009767,277,38287.1094
28,30,5.03603554,6.77433777,70,136324.469
28,-31,-5.11928129,2.2978785,184,15685.3496
28,33,5.28183842,2.46341634,198,18026.6797
28,-28,-4.86527205,5.65385151,215,94957.4141
28,20,4.11190557,7.30596066,48,158560.406
28,-36,-5.51670027,5.30208445,249,83509.0234
28,23,4.40952778,3.14065647,283,29300.9023
28,-32,-5.20119476,6.03803587,145,108300.75
28,21,4.21344948,3.2868681,9,32092.584
28,-12,-3.18506837,6.40918922,135,122024.289
28,15,3.56101489,4.25702858,127,53833.5781
28,-27,-4.7776022,1.9088459,150,10823.8525
29,35,5.43953991,1.9855082,72,12725.8984
29,-18,-3.90089607,2.45890021,74,19517.623
29,13,3.31512427,6.74088097,350,146682.547
29,-14,-3.44026709,6.9830389,38,157410.625
29,16,3.67780018,2.93910313,236,27885.2656
29,-33,-5.28183842,6.51639652,49,137075.594
29,-20,-4.11190557,7.09857559,13,162662.547
29,-13,-3.31512427,5.78583384,340,108063.0
29,-26,-4.68829393,6.52092552,240,137266.172
29,-25,-4.59724998,6.21584034,336,124722.5
29,27,4.7776022,2.63964033,148,22492.3398
29,-25,-4.59724998,6.44963264,43,134281.156
29,16,3.67780018,4.98449373,72,80202.375
29,-20,-4.11190557,6.40229797,37,132317.375
29,37,5.59279633,7.442307,94,178797.031
30,-32,-5.20119476,7.87837315,107,195448.609
30,-29,-4.95138979,7.84919214,112,194003.422
30,-32,-5.20119476,7.38559532,181,171763.344
30,21,4.21344948,6.70291233,15,141477.234
30,-13,-3.31512427,5.87832594,0,108809.508
30,41,5.88735294,7.04973602,106,156496.719
30,-28,-4.86527205,3.93207312,68,48685.8398
30,12,3.18506837,7.37485695,276,171264.234
30,-37,-5.59279633,1.2260015,140,4733.0542
30,12,3.18506837,5.40920162,75,92135.2578
30,-23,-4.40952778,4.47014952,232,62922.1523
30,26,4.68829393,6.81435537,77,146220.75
30,-29,-4.95138979,2.87403822,20,26010.252
