0,1,2,3,4,5
29.0,35.0,5.43954,1.985508,72.0,12725.8984
29.0,-35.0,5.43954,1.985508,72.0,12725.8984
29.0,13.0,3.315124,6.740881,350.0,146682.547
29.0,-13.0,3.315124,6.740881,350.0,146682.547
29.0,13.0,-3.315124,5.785834,340.0,108063.0
29.0,-13.0,-3.315124,5.785834,340.0,108063.0
29.0,20.0,-4.111906,7.098576,13.0,162662.547
29.0,-20.0,-4.111906,7.098576,13.0,162662.547
29.0,14.0,-3.440267,6.983039,38.0,157410.625
29.0,-14.0,-3.440267,6.983039,38.0,157410.625
29.0,16.0,3.6778,4.984494,72.0,80202.375
29.0,-16.0,3.6778,4.984494,72.0,80202.375
29.0,16.0,3.6778,2.939103,236.0,27885.2656
29.0,-16.0,3.6778,2.939103,236.0,27885.2656
30.0,26.0,4.688294,6.814355,77.0,146220.75
30.0,-26.0,4.688294,6.814355,77.0,146220.75
30.0,28.0,-4.865272,3.932073,68.0,48685.8398
30.0,-28.0,-4.865272,3.932073,68.0,48685.8398
30.0,29.0,-4.95139,7.849192,112.0,194003.422
30.0,-29.0,-4.95139,7.849192,112.0,194003.422
30.0,15.0,3.561015,4.681503,291.0,69012.875
30.0,-15.0,3.561015,4.681503,291.0,69012.875
30.0,13.0,-3.315124,5.878326,0.0,108809.508
30.0,-13.0,-3.315124,5.878326,0.0,108809.508
30.0,37.0,-5.592796,1.226001,140.0,4733.0542
30.0,-37.0,-5.592796,1.226001,140.0,4733.0542
30.0,32.0,-5.201195,4.525521,315.0,64490.6484
30.0,-32.0,-5.201195,4.525521,315.0,64490.6484
30.0,12.0,3.185068,5.409202,75.0,92135.2578
30.0,-12.0,3.185068,5.409202,75.0,92135.2578
30.0,23.0,-4.409528,4.47015,232.0,62922.1523
30.0,-23.0,-4.409528,4.47015,232.0,62922.1523
31.0,36.0,5.5167,3.507683,54.0,38370.957
31.0,-36.0,5.5167,3.507683,54.0,38370.957
31.0,37.0,5.592796,7.648261,230.0,182426.297
31.0,-37.0,5.592796,7.648261,230.0,182426.297
31.0,29.0,4.95139,1.443068,287.0,6494.34521
31.0,-29.0,4.95139,1.443068,287.0,6494.34521
31.0,24.0,4.504367,1.337411,78.0,5578.17041
31.0,-24.0,4.504367,1.337411,78.0,5578.17041
31.0,14.0,3.440267,3.882775,235.0,47016.0742
31.0,-14.0,3.440267,3.882775,235.0,47016.0742
31.0,33.0,5.281838,4.023544,239.0,50486.9883
31.0,-33.0,5.281838,4.023544,239.0,50486.9883
31.0,18.0,-3.900896,3.263483,40.0,33214.2734
31.0,-18.0,-3.900896,3.263483,40.0,33214.2734
31.0,40.0,-5.815113,7.640778,161.0,182069.469
31.0,-40.0,-5.815113,7.640778,161.0,182069.469
31.0,21.0,-4.213449,6.665998,63.0,138577.375
31.0,-21.0,-4.213449,6.665998,63.0,138577.375
31.0,29.0,-4.95139,6.656981,337.0,138202.703
31.0,-29.0,-4.95139,6.656981,337.0,138202.703
31.0,18.0,-3.900896,1.892841,60.0,11173.5254
31.0,-18.0,-3.900896,1.892841,60.0,11173.5254
32.0,14.0,-3.440267,6.318112,150.0,132278.188
32.0,-14.0,-3.440267,6.318112,150.0,132278.188
32.0,11.0,-3.049471,6.927302,209.0,159016.344
32.0,-11.0,-3.049471,6.927302,209.0,159016.344
32.0,34.0,5.361269,3.723302,66.0,45937.7773
32.0,-34.0,5.361269,3.723302,66.0,45937.7773
32.0,11.0,-3.049471,5.009992,280.0,83173.9922
32.0,-11.0,-3.049471,5.009992,280.0,83173.9922
32.0,36.0,5.5167,6.625122,84.0,145445.844
32.0,-36.0,5.5167,6.625122,84.0,145445.844
32.0,40.0,5.815113,2.143928,304.0,15231.1943
32.0,-40.0,5.815113,2.143928,304.0,15231.1943
32.0,14.0,-3.440267,2.907176,125.0,28006.3398
32.0,-14.0,-3.440267,2.907176,125.0,28006.3398
32.0,13.0,3.315124,7.950056,230.0,209437.25
32.0,-13.0,3.315124,7.950056,230.0,209437.25
32.0,23.0,4.409528,2.47994,4.0,20379.6191
32.0,-23.0,4.409528,2.47994,4.0,20379.6191
32.0,16.0,3.6778,4.165216,341.0,57489.5078
32.0,-16.0,3.6778,4.165216,341.0,57489.5078
33.0,29.0,-4.95139,2.311677,356.0,15383.1455
33.0,-29.0,-4.95139,2.311677,356.0,15383.1455
33.0,31.0,-5.119281,5.482063,114.0,86512.5078
33.0,-31.0,-5.119281,5.482063,114.0,86512.5078
33.0,21.0,-4.213449,4.067558,263.0,47627.5625
33.0,-21.0,-4.213449,4.067558,263.0,47627.5625
33.0,34.0,5.361269,2.459144,233.0,17408.3926
33.0,-34.0,5.361269,2.459144,233.0,17408.3926
33.0,31.0,5.119281,4.050415,141.0,47226.9414
33.0,-31.0,5.119281,4.050415,141.0,47226.9414
33.0,39.0,-5.741964,5.551162,176.0,88707.1484
33.0,-39.0,-5.741964,5.551162,176.0,88707.1484
33.0,17.0,3.79099,3.545315,169.0,36182.6602
33.0,-17.0,3.79099,3.545315,169.0,36182.6602
33.0,22.0,4.312603,3.374946,15.0,32788.7148
33.0,-22.0,4.312603,3.374946,15.0,32788.7148
34.0,39.0,5.741964,1.774335,215.0,9079.71973
34.0,-39.0,5.741964,1.774335,215.0,9079.71973
34.0,29.0,4.95139,2.875422,295.0,23845.3809
34.0,-29.0,4.95139,2.875422,295.0,23845.3809
34.0,17.0,-3.79099,2.731293,217.0,21514.8203
34.0,-17.0,-3.79099,2.731293,217.0,21514.8203
34.0,15.0,3.561015,3.694703,139.0,39369.5273
34.0,-15.0,3.561015,3.694703,139.0,39369.5273
34.0,14.0,-3.440267,2.164559,251.0,13512.6387
34.0,-14.0,-3.440267,2.164559,251.0,13512.6387
